species,genotype,treat,Time,Day,Photo,Cond,specific,month
ya,6.1,d,1,1,0.726623293,0.008176254,6.1.0.2013,14-Jul
ya,6.1,d,2,1,-0.007446728,0.000167606,6.1.0.2013,14-Jul
ya,6.1,d,3,1,3.63470011,0.026347392,6.1.0.2013,14-Jul
ya,6.1,d,4,1,5.006526109,0.031858347,6.1.0.2013,14-Jul
ya,6.1,d,5,1,3.766045238,0.020803505,6.1.0.2013,14-Jul
ya,6.1,d,6,1,3.247973384,0.020870717,6.1.0.2013,14-Jul
ya,6.2,w,1,1,-0.083687916,0.000644356,6.2.0.2013,14-Jul
ya,6.2,w,2,1,1.187950651,0.012011705,6.2.0.2013,14-Jul
ya,6.2,w,3,1,1.720878374,0.012687569,6.2.0.2013,14-Jul
ya,6.2,w,4,1,4.896510076,0.026287686,6.2.0.2013,14-Jul
ya,6.2,w,5,1,4.059917535,0.023216716,6.2.0.2013,14-Jul
ya,6.2,w,6,1,2.666855095,0.014768772,6.2.0.2013,14-Jul
ya,7.1,w,1,1,0.218602909,0.003454957,7.1.0.2013,14-Jul
ya,7.1,w,2,1,1.629116237,0.015668059,7.1.0.2013,14-Jul
ya,7.1,w,3,1,3.127365707,0.025305446,7.1.0.2013,14-Jul
ya,7.1,w,4,1,4.086454301,0.025470034,7.1.0.2013,14-Jul
ya,7.1,w,5,1,2.504934616,0.017598052,7.1.0.2013,14-Jul
ya,7.1,w,6,1,2.022656979,0.019225252,7.1.0.2013,14-Jul
ya,7.2,d,1,1,0.614180315,0.008303582,7.2.0.2013,14-Jul
ya,7.2,d,2,1,0.009022096,0.000213732,7.2.0.2013,14-Jul
ya,7.2,d,3,1,3.381135821,0.023135417,7.2.0.2013,14-Jul
ya,7.2,d,4,1,4.42269854,0.027427134,7.2.0.2013,14-Jul
ya,7.2,d,5,1,3.201082521,0.019084952,7.2.0.2013,14-Jul
ya,7.2,d,6,1,2.205691392,0.013337637,7.2.0.2013,14-Jul
ya,23.1,w,1,1,0.263143102,-7.50E-05,23.1.0.2013,15-Feb
ya,23.1,w,2,1,0.054671954,-0.000782452,23.1.0.2013,15-Feb
ya,23.1,w,3,1,0.431812019,0.000659143,23.1.0.2013,15-Feb
ya,23.1,w,4,1,2.487443415,0.01146827,23.1.0.2013,15-Feb
ya,23.1,w,5,1,4.650990067,0.021938407,23.1.0.2013,15-Feb
ya,23.1,w,6,1,2.368468368,0.01297397,23.1.0.2013,15-Feb
ya,23.2,d,1,1,0.798445475,0.002207204,23.2.0.2013,15-Feb
ya,23.2,d,2,1,2.00971955,0.015024533,23.2.0.2013,15-Feb
ya,23.2,d,3,1,1.513605452,0.011287088,23.2.0.2013,15-Feb
ya,23.2,d,4,1,1.98042888,0.009906268,23.2.0.2013,15-Feb
ya,23.2,d,5,1,3.702589915,0.017170963,23.2.0.2013,15-Feb
ya,23.2,d,6,1,2.702845778,0.015597928,23.2.0.2013,15-Feb
yf,2.1,d,1,1,1.67207912,0.010968688,2.1.0.2013,14-Oct
yf,2.1,d,2,1,2.333932434,0.015150892,2.1.0.2013,14-Oct
yf,2.1,d,3,1,2.80010842,0.018213039,2.1.0.2013,14-Oct
yf,2.1,d,4,1,-0.093996881,0.003302917,2.1.0.2013,14-Oct
yf,2.1,d,5,1,-0.064123143,0.001973248,2.1.0.2013,14-Oct
yf,2.1,d,6,1,-0.154371694,0.001970843,2.1.0.2013,14-Oct
yf,2.2,w,1,1,2.332655871,0.014498634,2.2.0.2013,14-Oct
yf,2.2,w,2,1,2.179656153,0.013721,2.2.0.2013,14-Oct
yf,2.2,w,3,1,1.868261128,0.012888727,2.2.0.2013,14-Oct
yf,2.2,w,4,1,-0.084699313,0.000560596,2.2.0.2013,14-Oct
yf,2.2,w,5,1,-0.23391308,0.000985008,2.2.0.2013,14-Oct
yf,2.2,w,6,1,0.005782271,0.001806267,2.2.0.2013,14-Oct
yf,9.1,d,1,1,2.110888507,0.012957335,9.1.0.2013,14-Oct
yf,9.1,d,2,1,1.086791974,0.00572617,9.1.0.2013,14-Oct
yf,9.1,d,3,1,1.690855484,0.008138695,9.1.0.2013,14-Oct
yf,9.1,d,4,1,-0.017543504,0.000289096,9.1.0.2013,14-Oct
yf,9.1,d,5,1,0.027135065,-9.90E-05,9.1.0.2013,14-Oct
yf,9.1,d,6,1,-0.102026463,0.000240638,9.1.0.2013,14-Oct
yf,9.2,w,1,1,4.257283573,0.026968831,9.2.0.2013,14-Oct
yf,9.2,w,2,1,3.699679066,0.023426827,9.2.0.2013,14-Oct
yf,9.2,w,3,1,3.472287797,0.023623661,9.2.0.2013,14-Oct
yf,9.2,w,4,1,-0.215650861,0.001539059,9.2.0.2013,14-Oct
yf,9.2,w,5,1,-0.109734502,-0.001025112,9.2.0.2013,14-Oct
yf,9.2,w,6,1,-0.006506094,0.00035826,9.2.0.2013,14-Oct
yf,27.1,w,1,1,9.233483462,0.032172986,27.1.0.2013,15-Feb
yf,27.1,w,2,1,4.101396594,0.022905212,27.1.0.2013,15-Feb
yf,27.1,w,3,1,5.989402306,0.039217442,27.1.0.2013,15-Feb
yf,27.1,w,4,1,-0.057613054,0.000410937,27.1.0.2013,15-Feb
yf,27.1,w,5,1,-0.211602392,0.001467379,27.1.0.2013,15-Feb
yf,27.1,w,6,1,-0.079240122,0.000703841,27.1.0.2013,15-Feb
yf,27.2,d,1,1,2.620138934,0.018063383,27.2.0.2013,15-Feb
yf,27.2,d,2,1,2.179764535,0.014121962,27.2.0.2013,15-Feb
yf,27.2,d,3,1,1.631780861,0.00937615,27.2.0.2013,15-Feb
yf,27.2,d,4,1,-0.028545017,0.001491373,27.2.0.2013,15-Feb
yf,27.2,d,5,1,-0.171227586,0.000743291,27.2.0.2013,15-Feb
yf,27.2,d,6,1,-0.232002648,0.001280922,27.2.0.2013,15-Feb
yf,30.1,d,1,1,6.340189253,0.054355912,30.1.0.2013,14-Jul
yf,30.1,d,2,1,7.135020108,0.06768399,30.1.0.2013,14-Jul
yf,30.1,d,3,1,5.987727806,0.065285295,30.1.0.2013,14-Jul
yf,30.1,d,4,1,-0.750318339,0.003291213,30.1.0.2013,14-Jul
yf,30.1,d,5,1,-1.006683746,0.008559846,30.1.0.2013,14-Jul
yf,30.1,d,6,1,-0.985747259,0.023691399,30.1.0.2013,14-Jul
yf,30.2,w,1,1,7.446299522,0.07167754,30.2.0.2013,14-Jul
yf,30.2,w,2,1,9.290292018,0.098298464,30.2.0.2013,14-Jul
yf,30.2,w,3,1,7.883354213,0.095582227,30.2.0.2013,14-Jul
yf,30.2,w,4,1,-0.80272708,0.003788705,30.2.0.2013,14-Jul
yf,30.2,w,5,1,-0.855143461,0.013814415,30.2.0.2013,14-Jul
yf,30.2,w,6,1,-0.957928678,0.020003738,30.2.0.2013,14-Jul
yg,12.1,w,1,1,3.682063005,0.032252325,12.1.0.2013,14-Jul
yg,12.1,w,2,1,3.934753508,0.037123797,12.1.0.2013,14-Jul
yg,12.1,w,3,1,4.074896478,0.039375928,12.1.0.2013,14-Jul
yg,12.1,w,4,1,0.562828848,0.007791663,12.1.0.2013,14-Jul
yg,12.1,w,5,1,0.023868589,0.00636521,12.1.0.2013,14-Jul
yg,12.1,w,6,1,-0.029623133,0.006024789,12.1.0.2013,14-Jul
yg,12.2,d,1,1,6.461575109,0.054846327,12.2.0.2013,14-Jul
yg,12.2,d,2,1,4.452812662,0.036866358,12.2.0.2013,14-Jul
yg,12.2,d,3,1,6.360845643,0.045279235,12.2.0.2013,14-Jul
yg,12.2,d,4,1,0.997882649,0.005900194,12.2.0.2013,14-Jul
yg,12.2,d,5,1,0.867345817,0.0050435,12.2.0.2013,14-Jul
yg,12.2,d,6,1,0.856590135,0.004170779,12.2.0.2013,14-Jul
yg,13.1,w,1,1,7.142278954,0.062160395,13.1.0.2013,15-Feb
yg,13.1,w,2,1,5.600518571,0.041486351,13.1.0.2013,15-Feb
yg,13.1,w,3,1,5.662813274,0.036420848,13.1.0.2013,15-Feb
yg,13.1,w,4,1,1.959748406,0.011711502,13.1.0.2013,15-Feb
yg,13.1,w,5,1,1.085740715,0.006428692,13.1.0.2013,15-Feb
yg,13.1,w,6,1,0.536458258,0.006527016,13.1.0.2013,15-Feb
yg,13.2,d,1,1,6.8888903,0.067530885,13.2.0.2013,15-Feb
yg,13.2,d,2,1,6.118280678,0.055613402,13.2.0.2013,15-Feb
yg,13.2,d,3,1,6.365083431,0.049064578,13.2.0.2013,15-Feb
yg,13.2,d,4,1,1.278030829,0.008044769,13.2.0.2013,15-Feb
yg,13.2,d,5,1,0.887954894,0.005715475,13.2.0.2013,15-Feb
yg,13.2,d,6,1,1.106842031,0.008669312,13.2.0.2013,15-Feb
yg,14.1,d,1,1,4.070869184,0.033439831,14.1.0.2013,14-Oct
yg,14.1,d,2,1,5.497212874,0.044341825,14.1.0.2013,14-Oct
yg,14.1,d,3,1,5.028924953,0.033005395,14.1.0.2013,14-Oct
yg,14.1,d,4,1,1.524903194,0.016551352,14.1.0.2013,14-Oct
yg,14.1,d,5,1,0.935679851,0.008332045,14.1.0.2013,14-Oct
yg,14.1,d,6,1,0.950427589,0.012596024,14.1.0.2013,14-Oct
yg,14.2,w,1,1,2.635139414,0.01837089,14.2.0.2013,14-Oct
yg,14.2,w,2,1,3.093654627,0.018971837,14.2.0.2013,14-Oct
yg,14.2,w,3,1,2.387727825,0.015102411,14.2.0.2013,14-Oct
yg,14.2,w,4,1,1.222487531,0.00811864,14.2.0.2013,14-Oct
yg,14.2,w,5,1,1.386560574,0.009554439,14.2.0.2013,14-Oct
yg,14.2,w,6,1,0.66796417,0.006479209,14.2.0.2013,14-Oct
yg,17.1,d,1,1,3.72416976,0.031578568,17.1.0.2013,14-Jul
yg,17.1,d,2,1,2.280896928,0.019016713,17.1.0.2013,14-Jul
yg,17.1,d,3,1,2.793767996,0.0191636,17.1.0.2013,14-Jul
yg,17.1,d,4,1,1.437080744,0.010664872,17.1.0.2013,14-Jul
yg,17.1,d,5,1,1.215493829,0.008260861,17.1.0.2013,14-Jul
yg,17.1,d,6,1,0.827344913,0.005551943,17.1.0.2013,14-Jul
yg,17.2,w,1,1,5.787377172,0.0571888,17.2.0.2013,14-Jul
yg,17.2,w,2,1,5.904351758,0.061949014,17.2.0.2013,14-Jul
yg,17.2,w,3,1,6.225517103,0.072227855,17.2.0.2013,14-Jul
yg,17.2,w,4,1,0.218790411,0.01022051,17.2.0.2013,14-Jul
yg,17.2,w,5,1,-0.010231474,0.0107955,17.2.0.2013,14-Jul
yg,17.2,w,6,1,-0.176390458,0.01100195,17.2.0.2013,14-Jul
yg,18.1,d,1,1,7.270718682,0.056258163,18.1.0.2013,14-Oct
yg,18.1,d,2,1,4.556134907,0.033293389,18.1.0.2013,14-Oct
yg,18.1,d,3,1,5.047703802,0.033949782,18.1.0.2013,14-Oct
yg,18.1,d,4,1,0.618629986,0.004688858,18.1.0.2013,14-Oct
yg,18.1,d,5,1,0.676880228,0.003880472,18.1.0.2013,14-Oct
yg,18.1,d,6,1,0.36059686,0.004890185,18.1.0.2013,14-Oct
yg,18.2,w,1,1,5.880449409,0.050621842,18.2.0.2013,14-Oct
yg,18.2,w,2,1,4.737828979,0.039004986,18.2.0.2013,14-Oct
yg,18.2,w,3,1,6.409845755,0.053232476,18.2.0.2013,14-Oct
yg,18.2,w,4,1,0.610244605,0.006595708,18.2.0.2013,14-Oct
yg,18.2,w,5,1,0.354086204,0.004877117,18.2.0.2013,14-Oct
yg,18.2,w,6,1,0.292631444,0.007270056,18.2.0.2013,14-Oct
yg,19.1,d,1,1,3.700242402,0.027650563,19.1.0.2013,14-Oct
yg,19.1,d,2,1,1.599572204,0.011450018,19.1.0.2013,14-Oct
yg,19.1,d,3,1,3.302285025,0.02293273,19.1.0.2013,14-Oct
yg,19.1,d,4,1,0.563507529,0.003348684,19.1.0.2013,14-Oct
yg,19.1,d,5,1,0.320724388,0.003056419,19.1.0.2013,14-Oct
yg,19.1,d,6,1,0.356601895,0.005807636,19.1.0.2013,14-Oct
yg,19.2,w,1,1,1.88881335,0.01510469,19.2.0.2013,14-Oct
yg,19.2,w,2,1,2.361906983,0.013809461,19.2.0.2013,14-Oct
yg,19.2,w,3,1,3.283645594,0.021385059,19.2.0.2013,14-Oct
yg,19.2,w,4,1,0.848692569,0.004832744,19.2.0.2013,14-Oct
yg,19.2,w,5,1,0.858172738,0.005351367,19.2.0.2013,14-Oct
yg,19.2,w,6,1,0.902871961,0.008646384,19.2.0.2013,14-Oct
yg,20.1,d,1,1,5.472905288,0.052893592,20.1.0.2013,15-Feb
yg,20.1,d,2,1,4.701837979,0.034648901,20.1.0.2013,15-Feb
yg,20.1,d,3,1,3.003961554,0.017314088,20.1.0.2013,15-Feb
yg,20.1,d,4,1,1.01895254,0.003937605,20.1.0.2013,15-Feb
yg,20.1,d,5,1,1.105397032,0.007265722,20.1.0.2013,15-Feb
yg,20.1,d,6,1,0.575216477,0.004506159,20.1.0.2013,15-Feb
yg,20.2,w,1,1,6.255923095,0.055343436,20.2.0.2013,15-Feb
yg,20.2,w,2,1,5.934443333,0.043565927,20.2.0.2013,15-Feb
yg,20.2,w,3,1,4.012316889,0.025129399,20.2.0.2013,15-Feb
yg,20.2,w,4,1,1.272640547,0.010048045,20.2.0.2013,15-Feb
yg,20.2,w,5,1,0.741009776,0.004256634,20.2.0.2013,15-Feb
yg,20.2,w,6,1,0.836518822,0.010310301,20.2.0.2013,15-Feb
yg,1A,w,1,1,4.98366738,0.040264992,1AB.1.0.2012,15-Feb
yg,1A,w,2,1,5.406881535,0.037288046,1AB.1.0.2012,15-Feb
yg,1A,w,3,1,5.387682477,0.032727803,1AB.1.0.2012,15-Feb
yg,1A,w,4,1,1.88584564,0.012707328,1AB.1.0.2012,15-Feb
yg,1A,w,5,1,1.320692968,0.008118402,1AB.1.0.2012,15-Feb
yg,1A,w,6,1,1.015130614,0.007848604,1AB.1.0.2012,15-Feb
yg,1B,d,1,1,9.197021663,0.098510861,1AB.2.0.2012,15-Feb
yg,1B,d,2,1,4.825927467,0.034402213,1AB.2.0.2012,15-Feb
yg,1B,d,3,1,8.030723825,0.062088469,1AB.2.0.2012,15-Feb
yg,1B,d,4,1,0.76431748,0.005999582,1AB.2.0.2012,15-Feb
yg,1B,d,5,1,0.849513223,0.004877939,1AB.2.0.2012,15-Feb
yg,1B,d,6,1,0.457522452,0.004523544,1AB.2.0.2012,15-Feb
yg,2A,d,1,1,6.055436414,0.048859535,2AB.1.0.2012,14-Oct
yg,2A,d,2,1,4.4803808,0.030515951,2AB.1.0.2012,14-Oct
yg,2A,d,3,1,5.250834092,0.035660805,2AB.1.0.2012,14-Oct
yg,2A,d,4,1,1.839801258,0.017124211,2AB.1.0.2012,14-Oct
yg,2A,d,5,1,1.09402328,0.005989551,2AB.1.0.2012,14-Oct
yg,2A,d,6,1,1.024035327,0.011421077,2AB.1.0.2012,14-Oct
yg,2B,w,1,1,5.983019502,0.046007054,2AB.2.0.2012,14-Oct
yg,2B,w,2,1,3.382342789,0.026521984,2AB.2.0.2012,14-Oct
yg,2B,w,3,1,3.336953189,0.021349567,2AB.2.0.2012,14-Oct
yg,2B,w,4,1,1.332360747,0.012192755,2AB.2.0.2012,14-Oct
yg,2B,w,5,1,0.77175554,0.004521199,2AB.2.0.2012,14-Oct
yg,2B,w,6,1,0.582976434,0.007017803,2AB.2.0.2012,14-Oct
yf,22.1,w,1,1,8.87158674,0.081195508,22.1.0.2013,14-Jul
yf,22.1,w,2,1,6.861233743,0.052678426,22.1.0.2013,14-Jul
yf,22.1,w,3,1,6.155256205,0.053592002,22.1.0.2013,14-Jul
yf,22.1,w,4,1,-1.024213495,0.002330276,22.1.0.2013,14-Jul
yf,22.1,w,5,1,-1.496996087,0.002263068,22.1.0.2013,14-Jul
yf,22.1,w,6,1,-1.586933824,0.004646699,22.1.0.2013,14-Jul
yf,22.2,d,1,1,4.227246957,0.029810124,22.2.0.2013,14-Jul
yf,22.2,d,2,1,1.212548867,0.008809604,22.2.0.2013,14-Jul
yf,22.2,d,3,1,1.111160329,0.007278139,22.2.0.2013,14-Jul
yf,22.2,d,4,1,-0.31917922,0.00347369,22.2.0.2013,14-Jul
yf,22.2,d,5,1,-0.433185274,0.002078556,22.2.0.2013,14-Jul
yf,22.2,d,6,1,-0.274769633,0.002493964,22.2.0.2013,14-Jul
ya,6.1,d,1,7,4.61E-05,0.001547492,6.1.0.2013,14-Jul
ya,6.1,d,2,7,-0.025126561,0.000809071,6.1.0.2013,14-Jul
ya,6.1,d,3,7,-0.232268741,0.00136402,6.1.0.2013,14-Jul
ya,6.1,d,4,7,0.122848208,0.001003003,6.1.0.2013,14-Jul
ya,6.1,d,5,7,1.584679151,0.006010332,6.1.0.2013,14-Jul
ya,6.1,d,6,7,0.562628485,0.004774534,6.1.0.2013,14-Jul
ya,7.2,d,1,7,-0.038255845,0.00115868,7.2.0.2013,14-Jul
ya,7.2,d,2,7,-0.006103874,0.000325825,7.2.0.2013,14-Jul
ya,7.2,d,3,7,-0.39613587,0.001995344,7.2.0.2013,14-Jul
ya,7.2,d,4,7,0.375227085,0.003554954,7.2.0.2013,14-Jul
ya,7.2,d,5,7,1.420665427,0.007990978,7.2.0.2013,14-Jul
ya,7.2,d,6,7,1.709142933,0.010904445,7.2.0.2013,14-Jul
ya,23.2,d,1,7,-0.051774081,0.000618538,23.2.0.2013,15-Feb
ya,23.2,d,2,7,-0.339142831,0.000855993,23.2.0.2013,15-Feb
ya,23.2,d,3,7,0.037700014,0.000902937,23.2.0.2013,15-Feb
ya,23.2,d,4,7,3.936419275,0.022541723,23.2.0.2013,15-Feb
ya,23.2,d,5,7,3.685138083,0.026036076,23.2.0.2013,15-Feb
ya,23.2,d,6,7,1.806971981,0.01501363,23.2.0.2013,15-Feb
yf,2.1,d,1,7,-0.056206418,0.001115956,2.1.0.2013,14-Oct
yf,2.1,d,2,7,-0.119591091,0.001433822,2.1.0.2013,14-Oct
yf,2.1,d,3,7,0.008859315,0.000279953,2.1.0.2013,14-Oct
yf,2.1,d,4,7,0.098671681,0.001390726,2.1.0.2013,14-Oct
yf,2.1,d,5,7,-0.183253557,0.000529839,2.1.0.2013,14-Oct
yf,2.1,d,6,7,-0.01457589,0.000922423,2.1.0.2013,14-Oct
yf,9.1,d,1,7,0.261936373,0.001351535,9.1.0.2013,14-Oct
yf,9.1,d,2,7,-0.088568011,0.000286475,9.1.0.2013,14-Oct
yf,9.1,d,3,7,-0.168363192,0.000148074,9.1.0.2013,14-Oct
yf,9.1,d,4,7,0.042586074,0.000241276,9.1.0.2013,14-Oct
yf,9.1,d,5,7,-0.03294054,0.000730669,9.1.0.2013,14-Oct
yf,9.1,d,6,7,0.040757612,0.000199399,9.1.0.2013,14-Oct
yf,27.2,d,1,7,-0.095398681,0.00092509,27.2.0.2013,15-Feb
yf,27.2,d,2,7,-0.167577206,0.001313253,27.2.0.2013,15-Feb
yf,27.2,d,3,7,-0.09801942,0.000632639,27.2.0.2013,15-Feb
yf,27.2,d,4,7,-0.109253728,0.000495382,27.2.0.2013,15-Feb
yf,27.2,d,5,7,-0.231104225,0.000593421,27.2.0.2013,15-Feb
yf,27.2,d,6,7,-0.123392717,0.00024649,27.2.0.2013,15-Feb
yf,30.1,d,1,7,-0.019205315,0.002457793,30.1.0.2013,14-Jul
yf,30.1,d,2,7,-0.02644169,0.001316406,30.1.0.2013,14-Jul
yf,30.1,d,3,7,0.080008696,0.001360711,30.1.0.2013,14-Jul
yf,30.1,d,4,7,-0.179853385,0.00252136,30.1.0.2013,14-Jul
yf,30.1,d,5,7,0.142151632,0.002004769,30.1.0.2013,14-Jul
yf,30.1,d,6,7,-0.342273377,0.001623352,30.1.0.2013,14-Jul
yg,12.2,d,1,7,0.027435159,0.000727631,12.2.0.2013,14-Jul
yg,12.2,d,2,7,-0.107760486,0.000779263,12.2.0.2013,14-Jul
yg,12.2,d,3,7,-0.227143149,0.000802737,12.2.0.2013,14-Jul
yg,12.2,d,4,7,-0.203433214,0.001272552,12.2.0.2013,14-Jul
yg,12.2,d,5,7,0.691099926,0.001181375,12.2.0.2013,14-Jul
yg,12.2,d,6,7,0.991796373,0.006796999,12.2.0.2013,14-Jul
yg,13.2,d,1,7,-0.201879334,0.001296328,13.2.0.2013,15-Feb
yg,13.2,d,2,7,-0.329953018,0.00148323,13.2.0.2013,15-Feb
yg,13.2,d,3,7,-0.134966135,0.001484684,13.2.0.2013,15-Feb
yg,13.2,d,4,7,0.690398401,0.003363213,13.2.0.2013,15-Feb
yg,13.2,d,5,7,0.333012416,0.003925831,13.2.0.2013,15-Feb
yg,13.2,d,6,7,0.10423585,0.001876445,13.2.0.2013,15-Feb
yg,14.1,d,1,7,-0.141202464,0.002028574,14.1.0.2013,14-Oct
yg,14.1,d,2,7,-0.035408875,0.000418394,14.1.0.2013,14-Oct
yg,14.1,d,3,7,-0.018551234,0.000434458,14.1.0.2013,14-Oct
yg,14.1,d,4,7,0.030366512,0.000976868,14.1.0.2013,14-Oct
yg,14.1,d,5,7,-0.054101994,0.00086202,14.1.0.2013,14-Oct
yg,14.1,d,6,7,0.671595508,0.003930273,14.1.0.2013,14-Oct
yg,17.1,d,1,7,-0.038957151,0.001920157,17.1.0.2013,14-Jul
yg,17.1,d,2,7,0.046367391,0.001623527,17.1.0.2013,14-Jul
