genotype ID,simple ID,slide,thickum,ad.cell.area,ab.cell.area,IAS,AUC_W,AUC_D,AUC_RW,AUC_W_night,AUC_D_night,AUC_RW_night,TA_d1_am,TA_d1_pm,TA_d7_am,TA_d7_pm,d1delta,d7delta,maxTA_d1,ad.SD.mean,ab.SD.mean,species
1.1.0.2013,1,38,703.8436667,1295.568133,1075.348667,0.253400259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yf
1.3,1,39,437.5793333,362.09,244.1473333,0.292026641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yf
12.1.0.2013,12,22,705.859,1243.022467,1268.188333,0.211551934,10.42256736,NA,10.55511532,0.290471447,NA,1.115996204,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
12.1.5.2016,12,NA,NA,NA,NA,NA,22.32037682,4.233586832,13.83233149,0.551049491,0.83434756,0.860634313,243.6889664,59.59430625,257.8399039,72.59130911,184.0946601,185.2485947,275.862069,NA,NA,yg
12.2.0.2013,12,23,717.913,1438.6074,1350.9691,0.163854316,16.33796939,0.662378843,6.979222692,1.794582209,1.085281506,1.418583819,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
12.2.1.2015,12,NA,NA,NA,NA,NA,17.29439804,12.96276212,14.30371398,1.997509697,2.30543245,2.564537896,158.7485389,15.41160543,245.9168459,63.17258,143.3369334,182.7442659,286.2407862,NA,NA,yg
12.2.1.2015.2,12,NA,NA,NA,NA,NA,8.93897706,NA,13.54242385,-0.098712259,1.656398452,1.547627555,150.7476821,26.38006415,194.2622539,57.17953894,124.3676179,137.082715,200.8368201,NA,NA,yg
12.2.3.2015,12,NA,NA,NA,NA,NA,22.55675691,21.56346901,26.08786319,0.962380208,1.745935556,2.974818107,307.1932133,44.96705528,212.8493018,48.44041249,262.2261581,164.4088893,580.8429119,NA,NA,yg
13.1.0.2013,13,10,885.62925,1801.4443,1498.321,0.107614055,18.14818957,NA,12.6324452,2.333844047,NA,0.319192328,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
13.1.1.2016,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.7913879,102.9336078,yg
13.1.2.2016,13,1,603.5656667,847.7978,861.1312,0.06488362,30.42763167,6.091521081,23.11994367,2.508800772,2.48277355,0.523337871,121.618958,99.4698563,190.3796275,27.40965185,22.1491017,162.9699757,290.6976744,106.1359867,NA,yg
13.1.3.2016,13,NA,NA,NA,NA,NA,29.33481069,17.44376346,21.22956701,1.160699447,NA,0.375796546,132.9046917,113.414111,118.1829832,19.58420974,19.49058069,98.59877342,136.6161616,NA,NA,yg
13.1.4.2016,13,2,826.114,1388.2019,994.4141,0.079213737,29.93273678,15.92613139,20.4690861,1.533375646,2.888329259,0.25188691,123.1102151,128.9886399,103.5184168,44.63093749,-5.87842482,58.88747928,170.8185053,NA,NA,yg
13.2.0.2013,13,23,554.026,797.9594,542.6482,NA,18.647216,0.509669922,7.02570922,2.080391324,0.730329542,0.281978783,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
13.2.1.201X,13,NA,NA,NA,NA,NA,29.95466497,17.31090279,22.87359897,1.66804244,2.074635719,0.619831567,141.2289479,87.93697943,111.0249113,15.98610792,53.29196844,95.03880341,161.5289766,NA,NA,yg
14.1.0.2013,14,26,625.1553333,925.336,723.1295333,0.196808847,15.49736926,0.187500931,4.626132647,2.173345243,0.296879016,1.471534196,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
14.2.0.2013,14,NA,NA,NA,NA,NA,9.741982349,0,9.273114783,2.331786425,NA,0.054333129,NA,NA,NA,NA,NA,NA,NA,63.46483705,88.60759494,yg
15.1.0.2013,15,21,771.974,1511.8029,1489.6315,0.317967714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
15.1.1.201X,15,NA,NA,NA,NA,NA,20.66153583,7.346255808,12.87494461,4.038837999,1.676270822,0.894961733,104.9226533,45.2797619,315.6016973,35.93444144,59.64289136,279.6672558,369.088812,NA,NA,yg
15.2.0.2013,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.25823224,67.70833333,yg
15.2.1.201X,15,NA,NA,NA,NA,NA,37.42083763,5.545142617,22.07477454,4.087324621,1.672196168,2.629794681,113.9110689,50.57142857,152.8595071,36.35254677,63.3396403,116.5069603,173.5261402,NA,NA,yg
15.2.2.201X,15,NA,NA,NA,NA,NA,8.678170953,2.252851818,5.118592959,2.812953257,0.171146399,1.432849398,64.45126146,57.10318045,215.3835977,42.7118523,7.34808101,172.6717454,297.188755,NA,NA,yg
16.X.1.2016,16,NA,NA,NA,NA,NA,20.59581781,3.516146332,14.05530928,-0.382068007,0.962690875,0.439218823,253.5204446,42.31270635,268.9058343,44.62909485,211.2077382,224.2767394,327.3809524,NA,NA,yg
16.X.2.2016,16,28,605.0406667,718.5476,649.402,0.106432204,24.15913451,4.542786488,13.74356632,0.634100522,1.341875077,0.69058434,183.8447611,63.47643099,247.6744434,67.64931329,120.3683301,180.0251301,330.1759134,NA,NA,yg
16.X.6.2016,16,NA,NA,NA,NA,NA,31.16849776,5.823919888,12.43183376,1.5081468,2.385090675,1.163440543,195.8466328,36.17947987,299.2027363,52.41004338,159.667153,246.7926929,308.6419753,NA,NA,yg
16.X.7.2016,16,29,582.5381667,773.114,565.4561,0.109240881,31.97549335,9.645150453,17.28839336,2.421897534,2.906114905,1.768386576,162.5089403,33.00109773,245.6144674,48.44942213,129.5078425,197.1650453,255.8635394,77.20020587,86.63578659,yg
17.1.0.2013,17,30,915.8053333,1742.128067,1239.500933,0.184503069,10.00299683,2.09605261,2.542830439,2.347706658,2.003036887,1.399745421,NA,NA,NA,NA,NA,NA,NA,NA,NA,yg
