slide,genotype,simple,ab cell area,ad cell area,set
8,53.2.5.2015,53,1812.669,936.656,2019
8,53.2.5.2015,53,1210.094,1332.827,2019
8,53.2.5.2015,53,927.855,1267.241,2019
8,53.2.5.2015,53,1015.143,1835.938,2019
8,53.2.5.2015,53,1213.469,1234.93,2019
10,45.2.4.2015,45,513.581,1021.533,2019
10,45.2.4.2015,45,545.013,1047.101,2019
10,45.2.4.2015,45,391.255,1029.743,2019
10,45.2.4.2015,45,549.001,968.404,2019
10,45.2.4.2015,45,589.932,1189.365,2019
11,45.1.1.2015,45,526.929,1143.746,2019
11,45.1.1.2015,45,980.088,785.31,2019
11,45.1.1.2015,45,736.337,880.282,2019
11,45.1.1.2015,45,997.942,865.528,2019
11,45.1.1.2015,45,525.317,1233.882,2019
13,43.2.3.2105,43,948.968,1001.041,2019
13,43.2.3.2105,43,701.374,1065.389,2019
13,43.2.3.2105,43,798.205,1667.824,2019
13,43.2.3.2105,43,541.311,848.666,2019
13,43.2.3.2105,43,715.26,669.882,2019
14,43.2.4.2015,43,649.053,732.494,2019
14,43.2.4.2015,43,749.355,756.67,2019
14,43.2.4.2015,43,828.085,1006.993,2019
14,43.2.4.2015,43,549.122,991.495,2019
14,43.2.4.2015,43,658.228,715.136,2019
17,37.X.2.2015,37,627.604,705.341,2019
17,37.X.2.2015,37,666.782,1358.733,2019
17,37.X.2.2015,37,496.553,993.974,2019
17,37.X.2.2015,37,695.175,726.046,2019
17,37.X.2.2015,37,796.221,962.483,2019
18,37.X.6.2015,37,1061.669,909.418,2019
18,37.X.6.2015,37,1024.102,1056.71,2019
18,37.X.6.2015,37,541.683,1237.106,2019
18,37.X.6.2015,37,635.539,639.506,2019
18,37.X.6.2015,37,1021.251,759.77,2019
20,48.2.1.2015,48,516.763,1124.157,2019
20,48.2.1.2015,48,749.727,1682.33,2019
20,48.2.1.2015,48,883.877,722.947,2019
20,48.2.1.2015,48,882.637,1043.692,2019
20,48.2.1.2015,48,756.422,982.072,2019
21,48.2.0.2014,48,1086.342,1044.684,2019
21,48.2.0.2014,48,802.048,524.326,2019
21,48.2.0.2014,48,860.072,599.955,2019
21,48.2.0.2014,48,712.532,687.984,2019
21,48.2.0.2014,48,824.613,714.516,2019
22,46.1.2.2015,46,915.741,1136.307,2019
22,46.1.2.2015,46,572.679,1051.379,2019
