species,sample,simple,slide,thickum,ad.cell.area,ab.cell.area,IAS,slideID,set,length 1,#cells1,length cell,propcell1,length 2,#cells2,length cell,propcell2
yg,13.1.2.2016,13,1,616.0756667,842.1438,848.4032,0.107413442,slide1_10x.1,Y2019,575.059,17,558.891,0.971884624,583.636,15,530.318,0.908645114
yg,13.1.2.2016,13,1,591.0556667,853.4518,873.8592,0.022353797,slide1_10x.2,Y2019,541.62,14,452.373,0.835222111,518.71,12,424.836,0.819024118
yg,45.2.4.2015,45,10,641.116,1013.8166,726.4418,0.162113501,slide10_10x.1,Y2019,598.365,13,467.535,0.78135419,610.563,15,541.737,0.887274532
yg,45.2.4.2015,45,10,447.341,1051.2292,517.7564,0.112507734,slide10_10x.2,Y2019,402.55,10,296.41,0.736330891,435.874,11,293.015,0.672247026
yg,45.1.1.2015,45,11,591.7543333,683.1116,537.664,0.120943229,slide11_10x.1,Y2019,558.008,11,403.435,0.722991427,548.527,16,527.997,0.96257249
yg,45.1.1.2015,45,11,687.2366667,981.7496,753.3226,0.074115266,slide11_10x.2,Y2019,643.134,17,613.012,0.953163726,638.889,13,515.302,0.806559512
yg,43.2.3.2105,43,13,541.0186667,1168.885,765.5526,0.11623058,slide13_10x.1,Y2019,516.778,11,487.983,0.944279749,499.571,12,426.376,0.85348429
yg,43.2.3.2105,43,13,759.8926667,1050.5604,741.0236,0.101312531,slide13_10x.2,Y2019,697.323,18,619.538,0.88845198,714.861,19,636.669,0.890619295
yg,43.2.4.2015,43,14,699.509,976.3696,639.5158,0.200626955,slide14_10x.1,Y2019,666.85,15,545.85,0.818549899,658.865,13,440.656,0.668810758
yg,43.2.4.2015,43,14,469.4896667,840.5576,686.7686,0.103152549,slide14_10x.2,Y2019,430.001,12,358.482,0.833677131,388.011,8,314.075,0.809448701
yg,37.X.2.2015,37,17,595.8913333,1023.4134,765.0946,0.097277271,slide17_10x.1,Y2019,560.038,17,518.226,0.92534078,573.778,17,532.37,0.927832716
yg,37.X.2.2015,37,17,649.876,949.3154,656.467,0.080781077,slide17_10x.2,Y2019,609.477,16,503.333,0.825844125,598.443,16,523.648,0.875017337
yg,37.X.6.2015,37,18,526.388,1038.6044,763.5996,0.097864318,slide18_10x.1,Y2019,494.38,12,465.123,0.940820826,499.979,14,482.799,0.965638557
yg,37.X.6.2015,37,18,640.2133333,920.502,856.8488,0.093460328,slide18_10x.2,Y2019,595.478,15,538.779,0.904784056,606.383,17,549.555,0.906283652
yg,13.1.4.2016,13,2,716.277,1230.9268,965.5192,0.070688262,slide2_10x.1,Y2019,657.056,12,563.76,0.858009059,704.571,16,630.957,0.895519401
yg,13.1.4.2016,13,2,935.951,1545.477,1023.309,0.087739211,slide2_10x.2,Y2019,883.771,19,838.443,0.948710695,881.194,18,740.566,0.840411986
yg,48.2.1.2015,48,20,443.9103333,1357.663,840.7842,0.152764657,slide20_10x.1,Y2019,441.211,8,324.224,0.734850219,404.571,11,338.339,0.836290787
yg,48.2.1.2015,48,20,677.0206667,1111.0396,757.8852,0.107671036,slide20_10x.2,Y2019,607.109,15,508.073,0.836872786,636.901,13,503.356,0.790320631
yg,48.2.0.2014,48,21,583.3686667,714.293,857.1214,0.068992404,slide21_10x.1,Y2019,555.048,13,555.048,1,537.009,13,445.905,0.830349212
yg,48.2.0.2014,48,21,742.0866667,937.1864,638.8406,0.048993081,slide21_10x.2,Y2019,705.43,17,650.389,0.921975249,,,,
yg,46.1.2.2015,46,22,468.836,567.1296,601.5626,0.099320012,slide22_10x.1,Y2019,442.692,12,383.608,0.866534747,415.134,11,362.548,0.873327648
yg,46.1.2.2015,46,22,566.222,951.2498,752.9014,0.09623263,slide22_10x.2,Y2019,530.346,16,499.307,0.941474057,542.448,13,460.598,0.849109961
yg,46.1.1.2015,46,23,617.8843333,824.9356,667.4518,0.096357693,slide23_10x.1,Y2019,558.833,15,469.536,0.840208076,596.197,16,422.377,0.708452072
yg,46.1.1.2015,46,23,469.2573333,780.6954,546.8752,0.119408356,slide23_10x.2,Y2019,440.348,12,411.492,0.93447001,427.974,13,366.201,0.855661793
yg,36.1.4.2016,36,25,572.023,996.3348,662.7604,0.153886826,slide25_10x.1,Y2019,569.483,12,454.068,0.797333722,500.098,13,453.468,0.906758275
yg,36.1.4.2016,36,25,648.253,838.8962,943.786,0.078869877,slide25_10x.2,Y2019,602.125,16,520.798,0.864933361,,,,
yg,36.1.8.2016,36,27,638.9836667,963.2766,796.272,0.100603446,slide27_10x.1,Y2019,611.241,15,560.988,0.917785293,600.197,16,543.882,0.906172473
