slide,rep,species,genotype,side,area mm,count,per mm,specific
1,1,yg,16,bottom,0.5829,54,92.64024704,16.X.2.2016
1,2,yg,16,bottom,0.5829,56,96.0713673,16.X.2.2016
2,1,yg,16,bottom,0.5829,47,80.63132613,16.X.7.2016
2,2,yg,16,bottom,0.5829,54,92.64024704,16.X.7.2016
2,1,yg,16,top,0.5829,40,68.62240522,16.X.7.2016
2,2,yg,16,top,0.5829,50,85.77800652,16.X.7.2016
3,1,yg,45,top,0.5829,45,77.20020587,45.2.5.2015
3,2,yg,45,top,0.5829,51,87.49356665,45.2.5.2015
3,1,yg,45,bottom,0.5829,40,68.62240522,45.2.5.2015
3,2,yg,45,bottom,0.5829,46,78.915766,45.2.5.2015
4,1,yg,45,bottom,0.5829,77,132.09813,45.2.6.2015
4,2,yg,45,bottom,0.5829,72,123.5203294,45.2.6.2015
4,1,yg,45,top,0.5829,54,92.64024704,45.2.6.2015
4,2,yg,45,top,0.5829,54,92.64024704,45.2.6.2015
5,1,yg,55,bottom,0.5829,44,75.48464574,55.2.1.2015
5,2,yg,55,bottom,0.5829,45,77.20020587,55.2.1.2015
5,1,yg,55,top,0.5829,42,72.05352548,55.2.1.2015
5,2,yg,55,top,0.5829,49,84.06244639,55.2.1.2015
6,1,yg,55,bottom,0.5829,41,70.33796535,55.2.2.2015
6,2,yg,55,bottom,0.5829,32,54.89792417,55.2.2.2015
6,1,yg,55,top,0.5829,43,73.76908561,55.2.2.2015
6,2,yg,55,top,0.5829,52,89.20912678,55.2.2.2015
7,1,yg,36,bottom,0.5829,52,89.20912678,36.1.1.2016
7,2,yg,36,bottom,0.5829,48,82.34688626,36.1.1.2016
7,1,yg,36,top,0.5829,47,80.63132613,36.1.1.2016
7,2,yg,36,top,0.5829,48,82.34688626,36.1.1.2016
8,1,yg,36,bottom,0.603,52,86.23548922,36.1.5.2016
8,2,yg,36,bottom,0.603,65,107.7943615,36.1.5.2016
8,1,yg,36,top,0.603,59,97.84411277,36.1.5.2016
8,2,yg,36,top,0.603,54,89.55223881,36.1.5.2016
9,1,yg,51,bottom,0.603,80,132.6699834,51.1.3.2015
9,2,yg,51,bottom,0.603,86,142.6202322,51.1.3.2015
9,1,yg,51,top,0.603,45,74.62686567,51.1.3.2015
9,2,yg,51,top,0.603,50,82.91873964,51.1.3.2015
11,1,yg,37,bottom,0.603,45,74.62686567,37.x.6.2015
11,2,yg,37,bottom,0.603,47,77.94361526,37.x.6.2015
11,1,yg,37,top,0.603,45,74.62686567,37.x.6.2015
11,2,yg,37,top,0.603,46,76.28524046,37.x.6.2015
12,1,yg,37,bottom,0.603,49,81.26036484,37.x.7.2015
12,2,yg,37,bottom,0.603,44,72.96849088,37.x.7.2015
12,1,yg,37,top,0.603,42,69.65174129,37.x.7.2015
12,2,yg,37,top,0.603,39,64.67661692,37.x.7.2015
13,1,yg,61,bottom,0.603,49,81.26036484,61.1.2.2016
13,2,yg,61,bottom,0.603,48,79.60199005,61.1.2.2016
13,1,yg,61,top,0.603,63,104.4776119,61.1.2.2016
13,2,yg,61,top,0.603,60,99.50248756,61.1.2.2016
14,1,yg,61,bottom,0.603,48,79.60199005,61.2.1.2017
14,2,yg,61,bottom,0.603,41,67.9933665,61.2.1.2017
14,1,yg,61,top,0.603,34,56.38474295,61.2.1.2017
14,2,yg,61,top,0.603,33,54.72636816,61.2.1.2017
15,1,yg,43,bottom,0.603,54,89.55223881,43.1.1.2017
15,2,yg,43,bottom,0.603,53,87.89386401,43.1.1.2017
15,1,yg,43,top,0.603,47,77.94361526,43.1.1.2017
15,2,yg,43,top,0.603,40,66.33499171,43.1.1.2017
16,1,yg,43,bottom,0.603,57,94.52736318,43.1.3.2015
16,2,yg,43,bottom,0.603,57,94.52736318,43.1.3.2015
16,1,yg,43,top,0.603,56,92.86898839,43.1.3.2015
16,2,yg,43,top,0.603,56,92.86898839,43.1.3.2015
17,1,yg,56,bottom,0.603,39,64.67661692,56.1.0.2015
17,2,yg,56,bottom,0.603,40,66.33499171,56.1.0.2015
17,1,yg,56,top,0.603,52,86.23548922,56.1.0.2015
17,2,yg,56,top,0.603,47,77.94361526,56.1.0.2015
18,1,yg,56,bottom,0.603,48,79.60199005,56.1.2.2015
18,2,yg,56,bottom,0.603,45,74.62686567,56.1.2.2015
18,1,yg,56,top,0.603,45,74.62686567,56.1.2.2015
18,2,yg,56,top,0.603,39,64.67661692,56.1.2.2015
19,1,yg,48,bottom,0.603,55,91.2106136,48.2.3.2015
19,2,yg,48,bottom,0.603,60,99.50248756,48.2.3.2015
19,1,yg,48,top,0.603,53,87.89386401,48.2.3.2015
19,2,yg,48,top,0.603,59,97.84411277,48.2.3.2015
20,1,yg,48,bottom,0.603,64,106.1359867,48.2.0.2014
20,2,yg,48,bottom,0.603,53,87.89386401,48.2.0.2014
20,1,yg,48,top,0.603,79,131.0116086,48.2.0.2014
20,2,yg,48,top,0.603,79,131.0116086,48.2.0.2014
21,1,yg,70,bottom,0.603,95,157.5456053,70.1.2.2016
21,2,yg,70,bottom,0.603,90,149.2537313,70.1.2.2016
21,1,yg,70,top,0.603,76,126.0364842,70.1.2.2016
